sha,commit/committer/date,commit/message,committer/login,committer/id,InsertQuery,,,,,
b546f06c87baead49fb8bb7c916162bc099178a1,2016-04-07T19:59:57Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('b546f06c87baead49fb8bb7c916162bc099178a1','16628107','yemao616','2016-04-07T19:59:57Z','fix Readme');"
65806e02974758cb3d964efed956b6fc453acf06,2016-04-07T19:58:05Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('65806e02974758cb3d964efed956b6fc453acf06','16628107','yemao616','2016-04-07T19:58:05Z','fix Readme');"
9f806086ed984a8f24db034e293ef89b7e974e6e,2016-04-07T19:56:49Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('9f806086ed984a8f24db034e293ef89b7e974e6e','16628107','yemao616','2016-04-07T19:56:49Z','fix Readme');"
96ae7f81be8012b4e7555db4aadd909a72c7b312,2016-04-07T19:54:26Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('96ae7f81be8012b4e7555db4aadd909a72c7b312','16628107','yemao616','2016-04-07T19:54:26Z','fix Readme');"
745d538918c35bca04ef2af1d612ebb458e217ee,2016-04-07T19:53:37Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('745d538918c35bca04ef2af1d612ebb458e217ee','16628107','yemao616','2016-04-07T19:53:37Z','fix Readme');"
f7ed85ee1050ffcdbbd90efe74d138ba5b4e2f5a,2016-04-07T19:52:04Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('f7ed85ee1050ffcdbbd90efe74d138ba5b4e2f5a','16628107','yemao616','2016-04-07T19:52:04Z','fix Readme');"
defb18f5210604d97124b8e7f6bfe3390d17eabd,2016-04-07T19:49:59Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('defb18f5210604d97124b8e7f6bfe3390d17eabd','16628107','yemao616','2016-04-07T19:49:59Z','fix Readme');"
bad5a042ca6d5745f53188349ec5e332e1f8d790,2016-04-07T19:36:33Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('bad5a042ca6d5745f53188349ec5e332e1f8d790','16628107','yemao616','2016-04-07T19:36:33Z','fix Readme');"
71224363f5a602afb53f1e376339badcae58635a,2016-04-07T19:32:38Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('71224363f5a602afb53f1e376339badcae58635a','16628107','yemao616','2016-04-07T19:32:38Z','fix Readme');"
3c5c32cb12cda5c38903b681a62250d554c942b7,2016-04-07T19:30:30Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('3c5c32cb12cda5c38903b681a62250d554c942b7','16628107','yemao616','2016-04-07T19:30:30Z','fix Readme');"
269748daf260668eacd9a120bb8b74e103d410e5,2016-04-07T19:25:12Z,fix Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('269748daf260668eacd9a120bb8b74e103d410e5','16628107','yemao616','2016-04-07T19:25:12Z','fix Readme');"
8504fd5ac528fb864457e431b9fabe8447330f96,2016-04-07T19:20:52Z,April Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('8504fd5ac528fb864457e431b9fabe8447330f96','16628107','yemao616','2016-04-07T19:20:52Z','April Readme');"
2f99e6e0440428e014cb4405135d7f323da624f6,2016-04-07T19:12:43Z,April Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('2f99e6e0440428e014cb4405135d7f323da624f6','16628107','yemao616','2016-04-07T19:12:43Z','April Readme');"
0c4eea59d5e6f7c388d6821fc509b2f17df2ed6d,2016-04-07T18:52:45Z,April Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('0c4eea59d5e6f7c388d6821fc509b2f17df2ed6d','16628107','yemao616','2016-04-07T18:52:45Z','April Readme');"
6f6f04bbd64d5d2c6e07c9118b276a72cb9f3ca2,2016-04-07T18:33:56Z,April Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6f6f04bbd64d5d2c6e07c9118b276a72cb9f3ca2','16628107','yemao616','2016-04-07T18:33:56Z','April Readme');"
