sha,COMMIT_USER_ID,COMMIT_TIMESTAMP,COMMIT_DESC
5e174d560b0353a39ff15a33fd776cd8dca20c7f,MaoYe,2016-03-01T00:31:29Z,push demo map
08413f42aeb5d7a9e83b82b32e9e67b5f0e182a3,asaha1,2016-02-29T23:30:49Z,Remove the place on clicking X
0d91e95a2fb704b12a9039972f20beddcb0275bd,MaoYe,2016-02-29T21:36:10Z,push demo test
a7fb68e186ee24c7a72f88833492716a86cc8acf,MaoYe,2016-02-29T21:18:15Z,push demo
bedb0cf08799f320c30c3a527ab5d360624ac79f,MaoYe,2016-02-29T02:58:30Z,test id push
b31d44b3793689bf54d7154a86414abc834146c3,MaoYe,2016-02-29T02:54:57Z,test pull
310a9e7088343fd76023d5c6591fa506d263ac05,MaoYe,2016-02-29T02:46:41Z,test pull
2db5b7a670bb651cb6fac8dea2fea19d78b80332,MaoYe,2016-02-29T02:31:08Z,blah blah
16928474aff4ed92efaeb4b863b020b0f0935803,MaoYe,2016-02-29T02:28:49Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
cd995ae2ef9faa623bd3cf7fb4b1ceaf074ff3d6,MaoYe,2016-02-29T02:28:22Z,doule check
efc6d0cfed41e7d6094aaf59182c40f8ba884d8e,yemao616,2016-02-28T03:05:47Z,Create The way to improve greatly on March
895146b6d30e4935d2ad60126d4e642df81b24cf,asaha1,2016-02-28T02:48:13Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
c21812f4418bdc52042661f6f80e6dc2f724d7c2,asaha1,2016-02-28T02:48:01Z,Solution 3 version 1.2 with multiple search capabilities and actual paths
ace02670a3628df87fe6ce69974c3f38fc6c5612,YiqiaoXu-Joe,2016-02-28T01:19:46Z,direction function finish
6f8b22ea600fe5895d46fd858da29201153d5954,YiqiaoXu-Joe,2016-02-26T22:18:05Z,save address in array for direction
8c93083036895d9aadbfbc3f0b9389f95b30ea8a,YiqiaoXu-Joe,2016-02-26T18:44:19Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
bfc646c279e75d67def9e08d8c7358ead198e218,YiqiaoXu-Joe,2016-02-26T18:40:37Z,search and make marker in web
953d8ebe60c7386b9ac8448c9864fad142504e2e,YiqiaoXu-Joe,2016-02-26T18:38:30Z,search and make marker in web
